,Najboljsi nakljucno,Casi najboljsi nakljucno,CLP,Casi CLP,Najboljsi lokalno iskanje,Casi najboljsi lokalno iskanje,Nakljucni lokalno iskanje,Casi nakljucni lokalno iskanje
252,10,0.04957914352416992,12,0.07879519462585449,11,0.0010788440704345703,13,0.03436112403869629
253,11,0.047274112701416016,12,0.09611678123474121,11,0.0011239051818847656,13,0.03319811820983887
254,11,0.04593992233276367,13,0.06749916076660156,11,0.0011157989501953125,13,0.038046836853027344
255,10,0.04842185974121094,11,0.17963600158691406,10,0.0012390613555908203,14,0.03666186332702637
256,10,0.04820394515991211,11,0.1470658779144287,10,0.0010838508605957031,12,0.03524899482727051
257,10,0.04742026329040527,11,0.12185907363891602,10,0.0010008811950683594,12,0.034559011459350586
258,9,0.04714083671569824,11,0.1270768642425537,10,0.0009021759033203125,12,0.03772997856140137
259,11,0.046807050704956055,12,0.12955379486083984,11,0.001013040542602539,12,0.032851219177246094
260,11,0.05332207679748535,11,0.13426494598388672,11,0.0011529922485351562,12,0.03420615196228027
261,9,0.04937100410461426,11,0.1666278839111328,9,0.0009982585906982422,12,0.034124135971069336
262,12,0.04620623588562012,12,0.10126709938049316,12,0.001065969467163086,12,0.032788991928100586
263,10,0.05019211769104004,12,0.1308269500732422,10,0.0009837150573730469,15,0.033126115798950195
264,10,0.05166316032409668,11,0.18166112899780273,10,0.0010170936584472656,15,0.03275609016418457
265,10,0.049964189529418945,11,0.12684226036071777,10,0.001065969467163086,12,0.0346219539642334
266,11,0.04640388488769531,12,0.10703206062316895,11,0.0010139942169189453,12,0.03563809394836426
267,10,0.04665112495422363,11,0.13835430145263672,10,0.0010187625885009766,12,0.034934043884277344
268,10,0.046151161193847656,11,0.16793608665466309,10,0.0009148120880126953,13,0.03362607955932617
269,10,0.05189681053161621,11,0.126600980758667,10,0.0010218620300292969,13,0.03356814384460449
270,10,0.05151009559631348,11,0.13548803329467773,10,0.0011110305786132812,12,0.0423588752746582
271,11,0.04732799530029297,12,0.12491893768310547,11,0.0009980201721191406,12,0.03425312042236328
272,10,0.048365116119384766,11,0.16115593910217285,11,0.0009899139404296875,13,0.033854007720947266
273,11,0.05585289001464844,11,0.1455390453338623,11,0.001068115234375,12,0.03222298622131348
274,11,0.0462491512298584,11,0.14527606964111328,11,0.0010929107666015625,12,0.034420013427734375
